"","ATT1_1_ExerciseAndDiet","ATT1_2_MustSuffer","ATT1_3_TrustInTradRemedy","ATT1_4_BodyMirrorToSoul","ATT1_5_DependsOnEnvironment","ATT1_6_IllnessIsImbalance","ATT1_7_HealthyDiet","ATT1_8_NeedTestResult","ATT1_9_MindHasStrongEffect","ATT1_10_AttractPplAndEvents","ATT1_11_BodyRemembers","ATT1_12_WeakImmuneSystem","ATT1_13_ElectronicRadiation","ATT1_14_Reincarnation","ATT1_15_TrustAncientRemedies","ATT1_16_EverythingConnected","ATT1_17_SickByChance","ATT1_18_TreatsOnlySymptoms","ATT1_19_DoctorMustHealMe","ATT1_20_HealingIsLuck","ATT1_21_IllnessBecauseOfEmotions","ATT1_22_AvoidPharma","ATT1_23_NothingByChance","ATT1_24_IllnessBecauseOfGenes","ATT1_25_ChemotherapyHarmful","ATT1_26_HealingResultOfEmoDevelopment","ATT1_27_EnergeticSystemInBody","ATT1_28_ConfrontingEmotionalProb","ATT1_29_RadiationTherapyHarmful","ATT1_30_MandatoryVaccines","ATT1_31_IllnessSymbology","ATT1_32_TrustWesternDocs","ATT1_33_SymptomsWillDisappear","ATT1_34_EnergyInEastern","ATT1_35_SeriousSymptom","ATT1_36_UnprocessedTrauma","ATT1_37_NoBiopsy","ATT1_38_IllnessTeachesUs","ATT1_39_OnlyNatural","ATT1_40_StrongerComplaintsMeanHealing"
"ATT1_1_ExerciseAndDiet",1,0.00541614144913552,0.0687178140052596,0.420660981355543,-0.041443899063452,0.265870819254128,0.220278800389659,-0.096774328100336,0.212277811357479,0.0760935813973937,0.189212927777185,0.103478168633152,0.0197599539609467,0.0730772423854315,0.122278631043317,0.145837875583114,0.00629621508431428,0.109027480153689,0.0362592742494353,-0.12548730819781,0.224956120934966,0.112192090503202,0.159621093910807,-0.0164829666428996,0.190647532193253,0.20454200088202,0.159658405585247,0.231619362990837,0.18720505643642,-0.0340305919181573,0.151799758859175,-0.0290251403322492,0.18985776509721,0.0832830911290689,-0.131415421581845,0.0743992423462997,0.0377948897363364,0.196604935232311,0.168869522302431,0.14611664827894
"ATT1_2_MustSuffer",0.00541614144913552,1,0.0399842949782851,0.136042577655079,0.329362440091198,0.0756667508279135,-0.044330065067615,0.0252069841210699,0.0776545244549753,0.081497709920643,0.0262515738434692,0.121235536765388,0.0694189158876142,-0.0522676006519206,-0.00629333530180673,0.0418795496878911,0.108275003798565,-0.0678400960677447,0.0841813649746051,-0.0273831815451053,-0.0240271110223266,-0.0610452701575216,0.0322212668729488,0.0786161800386096,0.147241142085754,0.0347829544306597,-0.0862024539137329,-0.0507096282725829,0.149586618599325,0.0462063081573236,-0.0716466341284356,-0.021246847829719,-0.041568522462552,-0.0987391013093026,0.0115117068994173,0.0925522897174094,-0.0252680025304632,-0.0220948596025144,-0.0304307623590839,-0.0737804177703532
"ATT1_3_TrustInTradRemedy",0.0687178140052596,0.0399842949782851,1,0.224917100368793,-0.0482544583104461,0.201974246745806,0.0566226467483476,-0.349384271574267,0.347278347901468,0.267471615010835,0.348555090307814,-0.0169305523380986,0.141399884918,0.318880606464576,0.492579627748536,0.232235295312277,-0.231285195519062,0.385167610990805,0.00618526910574998,-0.285133027762072,0.222761995390554,0.398556257151589,0.327557866142392,-0.212441523773397,0.387464694828156,0.292636917770387,0.353821580305807,0.280118771714795,0.418465078310112,0.268650778705842,0.313647672389492,-0.508706051491148,0.198484247851571,0.245583035677005,-0.56636682226256,0.226616944239303,0.233478145588748,0.328766325415639,0.495106106163323,0.378361941037057
"ATT1_4_BodyMirrorToSoul",0.420660981355543,0.136042577655079,0.224917100368793,1,0.264471767455415,0.477949615047517,0.246970373315752,-0.177344504981525,0.442971488880145,0.487680035046076,0.536037658911193,0.144048546876768,0.235838876913899,0.280134433124164,0.282357349079216,0.437589269622788,-0.0647944618308332,0.257438455047193,-0.0264386555852237,-0.121819002310661,0.435758240301573,0.286566330997486,0.424655243429445,-0.0219990469737541,0.2648194142702,0.412242048447227,0.358610482222399,0.439890596642687,0.340947295037726,0.197420403045166,0.39897962638124,-0.108124985190922,0.461281388853793,0.306331778318163,-0.211669476818185,0.405262380671929,0.188256352643959,0.354591447826415,0.224094983577119,0.230351917854578
"ATT1_5_DependsOnEnvironment",-0.041443899063452,0.329362440091198,-0.0482544583104461,0.264471767455415,1,0.120054842423427,-0.197522562256917,0.0830334900744342,0.204535640499017,0.182165669391927,0.00949669771124929,0.187344926766108,-0.0446195144038802,-0.0713643667058751,-0.0171854029142109,0.038164154847301,0.245793930872121,-0.111221066813462,0.233701935008616,0.203442814307741,0.141545875770218,-0.109372562681187,0.0530034244058371,0.21040445139037,-0.0806387348572934,0.134147520118778,0.0425694901101011,0.088197663908268,0.00954869557948854,0.106539285663511,0.00687095337059047,0.0294317820651144,0.104447278075318,0.0123156083530302,-0.00791304131581395,0.0407222701658468,0.160618468795419,0.0722145150324078,-0.0351266595788954,-0.029313013562373
"ATT1_6_IllnessIsImbalance",0.265870819254128,0.0756667508279135,0.201974246745806,0.477949615047517,0.120054842423427,1,0.225177358533002,-0.156710581317218,0.494218080890353,0.371430148622603,0.524727039995265,0.267447915684408,0.262185448410167,0.254018414020999,0.329866293266545,0.402767407672112,-0.1979819370244,0.348729925942857,-0.0609285966989683,-0.120347619672839,0.552956545699195,0.370977660352468,0.433109832973585,0.0769675123469981,0.350790370552116,0.415202470901207,0.415241008715433,0.476784314393479,0.330561797862312,0.268100351318015,0.514098261341985,-0.24320055018649,0.481247592991668,0.307957425077473,-0.276267809813693,0.584705987147183,0.175975351150612,0.481899467715892,0.291239481403925,0.281625965954409
"ATT1_7_HealthyDiet",0.220278800389659,-0.044330065067615,0.0566226467483476,0.246970373315752,-0.197522562256917,0.225177358533002,1,-0.057738065971416,0.16615785363408,0.0937239877614948,0.281685328230644,0.0937957959681227,0.244334245780111,0.196510401000206,0.0586148516530239,0.0950937115842089,-0.174224939708178,0.12391744112055,-0.213192684106661,-0.0270183125758266,0.123654745664509,0.231779691772438,0.174047158800825,-0.179175161628909,0.1441873334992,0.183121586448357,0.216235805468086,0.17496970734486,0.129046205228611,0.0485263171025766,0.255536455311533,-0.0503646804607186,0.147735674053391,0.0778996888331905,-0.111918871297939,0.248998159523012,0.0698319844080479,0.252752424301819,0.198221109721043,0.195712939492178
"ATT1_8_NeedTestResult",-0.096774328100336,0.0252069841210699,-0.349384271574267,-0.177344504981525,0.0830334900744342,-0.156710581317218,-0.057738065971416,1,-0.0520796033563325,-0.148561623591984,-0.148637704416104,0.0247271838664571,-0.0167402153903743,-0.184993138619225,-0.261394045019685,-0.165854159289641,0.0969697744229014,-0.278915968056697,0.201827641023397,0.12476768137193,-0.101888396732543,-0.236246697208451,-0.222901729393369,0.171544528970188,-0.28031588134612,-0.13606901519669,-0.243324548732874,-0.224361180591637,-0.292348048259946,-0.103499631511733,-0.243459436225169,0.317228320049814,-0.167056625810619,-0.159253150015138,0.440286683357874,-0.0444246121790369,-0.0619809030954142,-0.171442156141712,-0.277546572641845,-0.158222086433132
"ATT1_9_MindHasStrongEffect",0.212277811357479,0.0776545244549753,0.347278347901468,0.442971488880145,0.204535640499017,0.494218080890353,0.16615785363408,-0.0520796033563325,1,0.502284993809097,0.520685620436559,0.178972554105635,0.281821632394274,0.403842902058368,0.391395230327551,0.445945199657274,-0.229377917497221,0.324487040234165,-0.0896558334986296,-0.0758399037612639,0.538881923024042,0.392867987479666,0.524470902339606,0.0436544762139464,0.301607985711818,0.48858147900593,0.469836519062998,0.538518877660132,0.311738234026864,0.248276930030219,0.441747537203519,-0.252090421580052,0.439782850065443,0.34137254187165,-0.327941928316006,0.485453087883449,0.231201272936204,0.484189163559353,0.297994759726684,0.367053556143821
"ATT1_10_AttractPplAndEvents",0.0760935813973937,0.081497709920643,0.267471615010835,0.487680035046076,0.182165669391927,0.371430148622603,0.0937239877614948,-0.148561623591984,0.502284993809097,1,0.523564471213748,0.0993749439104123,0.332689697491743,0.46266489820657,0.381175392303327,0.613004683592275,-0.258822524026138,0.347619087569031,-0.099746594875554,-0.129199220963249,0.445294133062098,0.28206091971145,0.58113169908835,-0.136700999021609,0.282581714717882,0.409152729547694,0.543046903254906,0.473693116522644,0.324082045406383,0.163946993407005,0.536568693146627,-0.241765256409208,0.39600504609026,0.495999142762325,-0.277648980527756,0.436747957371472,0.141410370102962,0.426226538989633,0.203008139477716,0.285261270493021
